name,party,votes,isWinner,isIncumbent,district
Mary Peltola,D,136893,True,True,AK00
Sarah Palin,R,112255,False,False,AK00
Nick Begich,R,0,False,False,AK00
Jerry Carl,R,139854,True,True,AL01
Robert Aderholt,R,164371,True,True,AL04
Rick Neighbors,D,26628,False,False,AL04
Barry Moore,R,137193,True,True,AL02
Phyllis Harvey-Hall,D,57800,False,False,AL02
Mike Rogers,R,135448,True,True,AL03
Karen Lin Veasey,D,47770,False,False,AL03
Dale Strong,R,141988,True,False,AL05
Kathy Warner-Stanton,D,62466,False,False,AL05
Gary Palmer,R,154058,True,True,AL06
Terrycina Sewell,D,123060,True,True,AL07
Beatrice Nichols,R,67353,False,False,AL07
Rick Crawford,R,152933,True,True,AR01
Monte Hodges,D,54240,False,False,AR01
French Hill,R,147700,True,True,AR02
Quintessa Hathaway,D,86553,False,False,AR02
Bruce Westerman,R,153694,True,True,AR04
John White,D,56661,False,False,AR04
Steve Womack,R,142270,True,True,AR03
Lauren Mallett-Hays,D,73446,False,False,AR03
David Schweikert,R,182336,True,True,AZ01
Jevin Hodge,D,179141,False,False,AZ01
Eli Crane,R,174169,True,False,AZ02
Tom O'Halleran,D,149150,False,True,AZ02
Ruben Gallego,D,108599,True,True,AZ03
Jeff Zink,R,32475,False,False,AZ03
Greg Stanton,D,148941,True,True,AZ04
Kelly Cooper,R,116521,False,False,AZ04
Andy Biggs,R,182464,True,True,AZ05
Javier Ramos,D,120243,False,False,AZ05
Juan Ciscomani,R,177201,True,False,AZ06
Kirsten Engel,D,171969,False,False,AZ06
Raul Grijalva,D,126418,True,True,AZ07
Luis Pozzolo,R,69444,False,False,AZ07
Debbie Lesko,R,0,True,True,AZ08
Paul Gosar,R,0,True,True,AZ09
Jared Huffman,D,220590,True,True,CA02
Douglas Brower,R,74814,False,False,CA02
Kevin Kiley,R,172347,True,False,CA03
Kermit Jones,D,149361,False,False,CA03
Mike Thompson,D,167886,True,True,CA04
Matt Brock,R,77280,False,False,CA04
Tom McClintock,R,172834,True,True,CA05
Michael Barkley,D,109003,False,False,CA05
Ami Bera,D,118627,True,True,CA06
Tamika Hamilton,R,93596,False,False,CA06
Doris Matsui,D,146557,True,True,CA07
Max Semenenko,R,68112,False,False,CA07
John Garamendi,D,145398,True,True,CA08
Rudy Recile,R,46607,False,False,CA08
Josh Harder,D,94821,True,True,CA09
Tom Patti,R,77982,False,False,CA09
Nancy Pelosi,D,220804,True,True,CA11
John Dennis,R,42199,False,False,CA11
Barbara Lee,D,216913,True,True,CA12
Stephen Slauson,R,22831,False,False,CA12
John Duarte,R,66871,False,False,CA13
Adam Gray,D,66272,False,False,CA13
Eric Swalwell,D,137491,True,True,CA14
Alison Hayden,R,60803,False,False,CA14
Kevin Mullin,D,107969,True,False,CA15
David Canepa,D,86680,False,False,CA15
Anna Eshoo,D,139081,True,True,CA16
Rishi Kumar,D,101663,False,False,CA16
Ro Khanna,D,127724,True,True,CA17
Ritesh Tandon,R,52334,False,False,CA17
Zoe Lofgren,D,99670,True,True,CA18
Peter Hernandez,R,51702,False,False,CA18
Jimmy Panetta,D,193571,True,True,CA19
Jeff Gorman,R,87878,False,False,CA19
Kevin McCarthy,R,151619,True,True,CA20
Marisa Wood,D,73774,False,False,CA20
Jim Costa,D,66553,True,True,CA21
Michael Maher,R,56627,False,False,CA21
David Valadao,R,52129,True,True,CA22
Rudy Salas,D,48783,False,False,CA22
Jay Obernolte,R,102606,True,True,CA23
Derek Marshall,D,65459,False,False,CA23
Salud Carbajal,D,152475,True,True,CA24
Brad Allen,R,98675,False,False,CA24
Raul Ruiz,D,86274,True,True,CA25
Brian Hawkins,R,64140,False,False,CA25
Julia Brownley,D,134101,True,True,CA26
Matt Jacobs,R,111804,False,False,CA26
Mike Garcia,R,104536,True,True,CA27
Christy Smith,D,91782,False,False,CA27
Judy Chu,D,149934,True,True,CA28
Wes Hallman,R,76411,False,False,CA28
Tony Cardenas,D,69889,True,True,CA29
Angelica Duenas,D,49492,False,False,CA29
Adam Schiff,D,150024,True,True,CA30
G. Pudlo,D,60923,False,False,CA30
Grace Napolitano,D,91415,True,True,CA31
Daniel Martinez,R,62112,False,False,CA31
Brad Sherman,D,167325,True,True,CA32
Lucie Volotzky,R,74562,False,False,CA32
Pete Aguilar,D,76211,True,True,CA33
John Porter,R,55802,False,False,CA33
Norma Torres,D,74794,True,True,CA35
Mike Cargile,R,55612,False,False,CA35
Ted Lieu,D,194198,True,True,CA36
Joe Collins,R,84214,False,False,CA36
Sydney Kamlager,D,84203,True,False,CA37
Jan Perry,D,47453,False,False,CA37
Linda Sanchez,D,101198,True,True,CA38
Eric Ching,R,72996,False,False,CA38
Mark Takano,D,75758,True,True,CA39
Aja Smith,R,55592,False,False,CA39
Young Kim,R,161468,True,True,CA40
Asif Mahmood,D,122602,False,False,CA40
Ken Calvert,R,123298,True,True,CA41
Will Rollins,D,112324,False,False,CA41
Robert Garcia,D,99127,True,False,CA42
John Briscoe,R,45872,False,False,CA42
Maxine Waters,D,95390,True,True,CA43
Omar Navarro,R,27965,False,False,CA43
Nanette Barragan,D,100082,True,True,CA44
Paul Jones,R,38531,False,False,CA44
Michelle Steel,R,113906,True,True,CA45
Jay Chen,D,103406,False,False,CA45
Lou Correa,D,77983,True,True,CA46
Christopher Gonzales,R,48227,False,False,CA46
Katie Porter,D,137297,True,True,CA47
Scott Baugh,R,128186,False,False,CA47
Mike Levin,D,153160,True,True,CA49
Brian Maryott,R,137954,False,False,CA49
Scott Peters,D,168428,True,True,CA50
Corey Gustafson,R,99646,False,False,CA50
Sara Jacobs,D,143841,True,True,CA51
Stan Caplan,R,88710,False,False,CA51
Doug LaMalfa,R,151824,True,True,CA01
Max Steiner,D,92988,False,False,CA01
Juan Vargas,D,100338,True,True,CA52
Tyler Geffeney,R,50192,False,False,CA52
Darrell Issa,R,154806,True,True,CA48
Stephen Houlahan,D,101624,False,False,CA48
Mark DeSaulnier,D,198248,True,True,CA10
Jimmy Gomez,D,62134,True,True,CA34
David Kim,D,59098,False,False,CA34
Joe Neguse,D,244107,True,True,CO02
Marshall Dawson,R,97700,False,False,CO02
Lauren Boebert,R,163832,False,True,CO03
Adam Frisch,D,163278,False,False,CO03
Ken Buck,R,216024,True,True,CO04
Ike McCorkle,D,129619,False,False,CO04
Doug Lamborn,R,155528,True,True,CO05
David Torres,D,111978,False,False,CO05
Jason Crow,D,170140,True,True,CO06
Steven Monahan,R,105084,False,False,CO06
Brittany Pettersen,D,204984,True,False,CO07
Erik Aadland,R,150509,False,False,CO07
Diana DeGette,D,226929,True,True,CO01
Jennifer Qualteri,R,49530,False,False,CO01
Yadira Caraveo,D,114377,True,False,CO08
Barbara Kirkmeyer,R,112745,False,False,CO08
John Larson,D,150355,True,True,CT01
Larry Lazor,R,91536,False,False,CT01
Joe Courtney,D,165947,True,True,CT02
Mike France,R,114504,False,False,CT02
Rosa DeLauro,D,137924,True,True,CT03
Lesley DeNardis,R,98704,False,False,CT03
Jim Himes,D,140246,True,True,CT04
Jayme Stevenson,R,95518,False,False,CT04
Jahana Hayes,D,127795,True,True,CT05
George Logan,R,125834,False,False,CT05
Lisa Rochester,D,178416,True,True,DE00
Lee Murphy,R,138201,False,False,DE00
Neal Dunn,R,180218,True,True,FL02
Al Lawson,D,121120,False,True,FL02
Kat Cammack,R,178090,True,True,FL03
Danielle Hawk,D,103342,False,False,FL03
Aaron Bean,R,165678,True,False,FL04
LaShonda Holloway,D,108358,False,False,FL04
John Rutherford,R,0,True,True,FL05
Michael Waltz,R,226490,True,True,FL06
Cory Mills,R,177957,True,False,FL07
Karen Green,D,126052,False,False,FL07
Bill Posey,R,222119,True,True,FL08
Joanne Terry,D,120050,False,False,FL08
Darren Soto,D,108522,True,True,FL09
Scotty Moore,R,93815,False,False,FL09
Maxwell Frost,D,117929,True,False,FL10
Calvin Wimbish,R,78838,False,False,FL10
Daniel Webster,R,205989,True,True,FL11
Shante Munns,D,115629,False,False,FL11
Gus Bilirakis,R,226579,True,True,FL12
Kimberly Walker,D,95368,False,False,FL12
Anna Luna,R,181473,True,False,FL13
Eric Lynn,D,153839,False,False,FL13
Kathy Castor,D,149689,True,True,FL14
James Judge,R,113408,False,False,FL14
Laurel Lee,R,145211,True,False,FL15
Alan Cohn,D,102816,False,False,FL15
Vern Buchanan,R,189738,True,True,FL16
Jan Schneider,D,115537,False,False,FL16
Greg Steube,R,222433,True,True,FL17
Andrea Kale,D,123739,False,False,FL17
Scott Franklin,R,167393,True,True,FL18
Brian Mast,R,208592,True,True,FL21
Corinna Balderramos Robinson,D,119859,False,False,FL21
Lois Frankel,D,149977,True,True,FL22
Dan Franzese,R,122187,False,False,FL22
Jared Moskowitz,D,143897,True,False,FL23
Joe Budd,R,130669,False,False,FL23
Matt Gaetz,R,197320,True,True,FL01
Rebekah Jones,D,93416,False,False,FL01
Frederica Wilson,D,133416,True,True,FL24
Jesus Navarro,R,52442,False,False,FL24
Debbie Wasserman Schultz,D,129085,True,True,FL25
Carla Spalding,R,105227,False,False,FL25
Mario Diaz-Balart,R,143226,True,True,FL26
Christine Olivo,D,58838,False,False,FL26
Maria Elvira Salazar,R,136031,True,True,FL27
Annette Taddeo,D,101370,False,False,FL27
Byron Donalds,R,213032,True,True,FL19
Cindy Banyai,D,100198,False,False,FL19
Sheila Cherfilus-McCormick,D,136192,True,True,FL20
Drew Montez Clark,R,52150,False,False,FL20
Carlos Gimenez,R,134456,True,True,FL28
Robert Asencio,D,76647,False,False,FL28
Buddy Carter,R,156016,True,True,GA01
Wade Herring,D,107662,False,False,GA01
