District,D Positive Tweet,D Negative Tweet,R Positive Tweet,R Negative Tweet,Raw PVI,2020 Biden %,2020 Trump %,2016 Clinton %,2016 Trump %,D Popularity,R Popularity,Winners
AK00,0.7657657657657657,0.2342342342342342,0.6565217391304348,0.3434782608695652,-8.02,0.428,0.528,0.366,0.513,105000,538880,D
AL01,0.0,0.0,0.6129032258064516,0.3870967741935484,-16.46,0.35200000000000004,0.635,0.33799999999999997,0.629,0,228000,R
AL04,0.6774193548387096,0.3225806451612903,0.8524590163934426,0.1475409836065573,-33.24,0.18600000000000003,0.802,0.18,0.79,138000,7360,R
AL02,0.9,0.1,0.7596153846153846,0.2403846153846154,-17.32,0.34700000000000003,0.6409999999999999,0.32299999999999995,0.648,8000,249000,R
AL03,0.8,0.2,0.9026548672566372,0.0973451327433628,-19.36,0.324,0.664,0.311,0.657,101,2490000,R
AL05,0.9253731343283582,0.0746268656716417,0.935,0.065,-16.67,0.355,0.625,0.308,0.638,2960,451000,R
AL06,0.0,0.0,0.8260869565217391,0.1739130434782608,-18.39,0.342,0.6409999999999999,0.285,0.6679999999999999,0,142000,R
AL07,0.875,0.125,0.8367346938775511,0.1632653061224489,14.11,0.655,0.33399999999999996,0.6409999999999999,0.335,266,7380,D
AR01,0.8018867924528302,0.1981132075471698,0.78,0.22,-22.37,0.281,0.69,0.301,0.65,7770,155000,R
AR02,0.9310344827586208,0.0689655172413793,0.5725806451612904,0.4274193548387097,-9.03,0.42100000000000004,0.552,0.395,0.545,3020,13700000,R
AR04,0.7297297297297297,0.2702702702702703,0.7663551401869159,0.2336448598130841,-19.55,0.31,0.662,0.325,0.629,277000000,11400,R
AR03,0.8863636363636364,0.1136363636363636,0.7894736842105263,0.2105263157894736,-14.91,0.368,0.602,0.318,0.604,182,30100,R
AZ01,0.8225806451612904,0.1774193548387097,0.7557251908396947,0.2442748091603053,-2.01,0.501,0.48700000000000004,0.446,0.488,1270,12800,R
AZ02,0.8645833333333334,0.1354166666666666,0.8115942028985508,0.1884057971014492,-6.35,0.45299999999999996,0.532,0.41100000000000003,0.512,13900,21300,R
AZ03,0.5739130434782609,0.4260869565217391,0.7528089887640449,0.247191011235955,24.02,0.745,0.239,0.7140000000000001,0.215,31400,4500,D
AZ04,0.8105263157894737,0.1894736842105263,0.746268656716418,0.2537313432835821,2.28,0.541,0.439,0.465,0.441,59900,2750000,D
AZ05,0.75,0.25,0.5609756097560976,0.4390243902439024,-11.11,0.41,0.574,0.353,0.5660000000000001,1020000,40800,R
AZ06,0.7428571428571429,0.2571428571428571,0.8083333333333333,0.1916666666666666,-2.65,0.493,0.49200000000000005,0.43799999999999994,0.49,12500,5170,R
AZ07,0.6853932584269663,0.3146067415730337,0.7647058823529411,0.2352941176470588,14.98,0.6559999999999999,0.32899999999999996,0.634,0.298,15100,1790,D
AZ08,0.0,0.0,0.59,0.41,-9.69,0.425,0.561,0.37200000000000005,0.561,0,8430,R
AZ09,0.0,0.0,0.5080645161290323,0.4919354838709677,-15.64,0.364,0.621,0.32299999999999995,0.614,0,32500,R
CA02,0.7565217391304347,0.2434782608695652,0.8620689655172413,0.1379310344827586,23.19,0.735,0.24100000000000002,0.6890000000000001,0.23399999999999999,28800,3880,D
CA03,0.69,0.31,0.7109375,0.2890625,-3.72,0.479,0.49700000000000005,0.425,0.503,40700,69900,R
CA04,0.6875,0.3125,0.7293233082706767,0.2706766917293233,16.72,0.6709999999999999,0.305,0.637,0.293,7910000,313000,D
CA05,0.797979797979798,0.202020202020202,0.7301587301587301,0.2698412698412698,-8.72,0.42700000000000005,0.55,0.39299999999999996,0.546,309000,25200,R
CA06,0.7241379310344828,0.2758620689655172,0.8173913043478261,0.1826086956521739,7.39,0.579,0.39399999999999996,0.5479999999999999,0.38,20600,5810,D
CA07,0.7981651376146789,0.2018348623853211,0.9166666666666666,0.0833333333333333,17.4,0.674,0.303,0.6629999999999999,0.27699999999999997,4820,216,D
CA08,0.4742268041237113,0.5257731958762887,0.9130434782608696,0.0869565217391304,26.09,0.76,0.21899999999999997,0.753,0.19399999999999998,28700,113,D
CA09,0.591304347826087,0.408695652173913,0.3533333333333333,0.6466666666666666,4.58,0.552,0.426,0.5379999999999999,0.408,287000,140000,D
CA11,0.6565656565656566,0.3434343434343434,0.680672268907563,0.3193277310924369,36.7,0.863,0.11699999999999999,0.86,0.08900000000000001,7590000,11100000,D
CA12,0.6909090909090909,0.3090909090909091,0.8666666666666667,0.1333333333333333,39.7,0.893,0.086,0.8759999999999999,0.065,3250000,1820,D
CA13,0.7452830188679245,0.2547169811320754,0.6458333333333334,0.3541666666666667,3.85,0.5429999999999999,0.434,0.534,0.409,56700000,129000,
CA14,0.3529411764705882,0.6470588235294118,0.808695652173913,0.1913043478260869,21.7,0.7170000000000001,0.262,0.706,0.235,44600,37100,D
CA15,0.7354260089686099,0.2645739910313901,0.0,0.0,27.75,0.777,0.204,0.773,0.179,87100,0,D
CA16,0.7831325301204819,0.216867469879518,0.0,0.0,25.63,0.754,0.22399999999999998,0.7440000000000001,0.196,796200,0,D
CA17,0.689922480620155,0.3100775193798449,0.7264150943396226,0.2735849056603773,23.31,0.727,0.253,0.741,0.20199999999999999,47800,5330,D
CA18,0.6105263157894737,0.3894736842105263,0.7088607594936709,0.2911392405063291,21.39,0.7090000000000001,0.26899999999999996,0.715,0.22699999999999998,42700,235000,D
CA19,0.780952380952381,0.219047619047619,0.7165354330708661,0.2834645669291338,18.46,0.6859999999999999,0.29100000000000004,0.664,0.27,9930,49300,D
CA20,0.8163265306122449,0.1836734693877551,0.5760869565217391,0.4239130434782608,-15.59,0.364,0.613,0.318,0.626,43500,3620000,R
CA21,0.6115702479338843,0.3884297520661157,0.8354430379746836,0.1645569620253164,8.7,0.5920000000000001,0.38799999999999996,0.5820000000000001,0.365,1940000,173000,D
CA22,0.7719298245614035,0.2280701754385964,0.9224137931034484,0.0775862068965517,5.07,0.552,0.424,0.552,0.39299999999999996,19600,50600,R
CA23,0.6308724832214765,0.3691275167785235,0.7735849056603774,0.2264150943396226,-7.69,0.439,0.537,0.397,0.546,193000,2500,R
CA24,0.8235294117647058,0.1764705882352941,0.488,0.512,12.57,0.634,0.34299999999999997,0.591,0.34,60200,1300000,D
CA25,0.7454545454545455,0.2545454545454545,0.7297297297297297,0.2702702702702703,6.18,0.5670000000000001,0.413,0.563,0.389,95600,130000,D
CA26,0.7951807228915663,0.2048192771084337,0.8,0.2,7.97,0.589,0.39,0.557,0.384,7770,265000,D
CA27,0.6354166666666666,0.3645833333333333,0.7692307692307693,0.2307692307692307,4.05,0.551,0.42700000000000005,0.519,0.42100000000000004,123000,1580000,R
CA28,0.8181818181818182,0.1818181818181818,0.7555555555555555,0.2444444444444444,15.56,0.66,0.321,0.644,0.299,23000,1410,D
CA29,0.7258883248730964,0.2741116751269035,0.0,0.0,25.79,0.745,0.23199999999999998,0.779,0.166,21900,0,D
CA30,0.6752136752136753,0.3247863247863248,0.0,0.0,22.68,0.722,0.26,0.738,0.20800000000000002,444200,0,D
CA31,0.8117647058823529,0.188235294117647,0.6,0.4,14.83,0.645,0.335,0.657,0.285,24300,2440000,D
CA32,0.3571428571428571,0.6428571428571429,0.931372549019608,0.0686274509803921,19.53,0.695,0.287,0.7,0.249,110000,160,D
CA33,0.8141592920353983,0.1858407079646017,0.6545454545454545,0.3454545454545454,11.71,0.615,0.36200000000000004,0.622,0.32299999999999995,34200,5930000,D
CA35,0.6470588235294118,0.3529411764705882,0.6666666666666666,0.3333333333333333,13.32,0.629,0.349,0.6459999999999999,0.3,212000,1420,D
CA36,0.6923076923076923,0.3076923076923077,0.7086614173228346,0.2913385826771653,20.82,0.71,0.26899999999999996,0.6920000000000001,0.248,83200,5370000,D
CA37,0.7586206896551724,0.2413793103448276,0.0,0.0,36.63,0.857,0.124,0.884,0.073,1622510,0,D
CA38,0.75,0.25,0.7884615384615384,0.2115384615384615,14.33,0.6409999999999999,0.33899999999999997,0.652,0.293,101000,18700,D
CA39,0.8144329896907216,0.1855670103092783,0.8,0.2,11.86,0.62,0.358,0.614,0.327,13500,50500,D
CA40,1.0,0.0,0.8578947368421053,0.1421052631578947,-1.85,0.499,0.48100000000000004,0.45,0.493,21200,75600000,R
CA41,0.7863247863247863,0.2136752136752136,0.6893203883495146,0.3106796116504854,-3.17,0.486,0.496,0.446,0.506,781000,24700,R
CA42,0.6068376068376068,0.3931623931623931,0.7803030303030303,0.2196969696969697,22.38,0.7170000000000001,0.259,0.723,0.21600000000000003,2360000,47500,D
CA43,0.52,0.48,0.5272727272727272,0.4727272727272727,31.99,0.8079999999999999,0.17,0.841,0.114,91200,94100,D
CA44,0.7592592592592593,0.2407407407407407,0.7142857142857143,0.2857142857142857,24.0,0.7290000000000001,0.247,0.7559999999999999,0.191,2340,22000000,D
CA45,0.7719298245614035,0.2280701754385964,0.6442953020134228,0.3557046979865771,2.14,0.521,0.46,0.5379999999999999,0.406,90200,185000,R
CA46,0.7913043478260869,0.208695652173913,0.6065573770491803,0.3934426229508196,14.93,0.6409999999999999,0.337,0.6679999999999999,0.273,22700,57500,D
CA47,0.8067226890756303,0.1932773109243697,0.79,0.21,3.28,0.545,0.434,0.507,0.433,340000,13900,D
CA49,0.8181818181818182,0.1818181818181818,0.6237623762376238,0.3762376237623762,3.14,0.546,0.43200000000000005,0.49700000000000005,0.441,129000,7250,D
CA50,0.7017543859649122,0.2982456140350877,0.7777777777777778,0.2222222222222222,14.38,0.654,0.322,0.605,0.332,284000,5230,D
CA51,0.7319587628865979,0.268041237113402,0.674074074074074,0.3259259259259259,11.56,0.625,0.35200000000000004,0.584,0.354,102000,6780,D
CA01,0.7478260869565218,0.2521739130434782,0.6608695652173913,0.3391304347826087,-12.21,0.39299999999999996,0.583,0.35600000000000004,0.583,166000,7240,R
CA52,0.8275862068965517,0.1724137931034483,0.96875,0.03125,18.28,0.674,0.305,0.7070000000000001,0.24100000000000002,3590000,264,D
CA48,0.9551282051282052,0.0448717948717948,0.6962025316455697,0.3037974683544304,-9.33,0.42700000000000005,0.55,0.37200000000000005,0.5710000000000001,4520,38400,R
