District,Winners
AK00,D
AL01,R
AL04,R
AL02,R
AL03,R
AL05,R
AL06,R
AL07,D
AR01,R
AR02,R
AR04,R
AR03,R
AZ01,R
AZ02,R
AZ03,D
AZ04,D
AZ05,R
AZ06,R
AZ07,D
AZ08,R
AZ09,R
CA02,D
CA03,R
CA04,D
CA05,R
CA06,D
CA07,D
CA08,D
CA09,D
CA11,D
CA12,D
CA13,
CA14,D
CA15,D
CA16,D
CA17,D
CA18,D
CA19,D
CA20,R
CA21,D
CA22,R
CA23,R
CA24,D
CA25,D
CA26,D
CA27,R
CA28,D
CA29,D
CA30,D
CA31,D
CA32,D
CA33,D
CA35,D
CA36,D
CA37,D
CA38,D
CA39,D
CA40,R
CA41,R
CA42,D
CA43,D
CA44,D
CA45,R
CA46,D
CA47,D
CA49,D
CA50,D
CA51,D
CA01,R
CA52,D
CA48,R
CA10,D
CA34,D
CO02,D
CO03,
CO04,R
CO05,R
CO06,D
CO07,D
CO01,D
CO08,D
CT01,D
CT02,D
CT03,D
CT04,D
CT05,D
DE00,D
FL02,R
FL03,R
FL04,R
FL05,R
FL06,R
FL07,R
FL08,R
FL09,D
FL10,D
FL11,R
FL12,R
FL13,R
FL14,D
FL15,R
FL16,R
FL17,R
FL18,R
FL21,R
FL22,D
FL23,D
FL01,R
FL24,D
FL25,D
FL26,R
FL27,R
FL19,R
FL20,D
FL28,R
GA01,R
GA02,D
GA03,R
GA04,D
GA05,D
GA07,D
GA08,R
GA09,R
GA10,R
GA11,R
GA12,R
GA13,D
GA14,R
GA06,R
HI02,D
HI01,D
IA01,R
IA02,R
IA03,R
IA04,R
ID01,R
ID02,R
IL01,D
IL03,D
IL04,D
IL05,D
IL06,D
IL07,D
IL08,D
IL09,D
IL10,D
IL11,D
IL12,R
IL13,D
IL14,D
IL15,R
IL16,R
IL17,D
IL02,D
IN01,D
IN02,R
IN03,R
IN04,R
IN05,R
IN06,R
IN07,D
IN08,R
IN09,R
KS01,R
KS03,D
KS02,R
KS04,R
KY03,D
KY05,R
KY06,R
KY01,R
KY02,R
KY04,R
LA01,R
LA02,D
LA03,R
LA04,R
LA05,R
LA06,R
MA01,D
MA02,D
MA03,D
MA04,D
MA06,D
MA07,D
MA08,D
MA09,D
MA05,D
MD01,R
MD02,D
MD03,D
MD04,D
MD05,D
MD06,D
MD07,D
MD08,D
ME01,D
ME02,D
MI01,R
MI02,R
MI03,D
MI04,R
MI05,R
MI06,D
MI07,D
MI08,D
MI09,R
MI10,R
MI11,D
MI12,D
MI13,D
MN01,R
MN02,D
MN03,D
MN04,D
MN05,D
MN06,R
MN07,R
MN08,R
MO02,R
MO03,R
MO04,R
MO05,D
MO06,R
MO07,R
MO08,R
MO01,D
MS02,D
MS03,R
MS04,R
MS01,R
MT01,R
MT02,R
NC03,R
NC07,R
NC09,R
NC11,R
NC01,D
NC02,D
NC04,D
NC05,R
NC06,D
NC08,R
NC10,R
NC12,D
NC13,D
NC14,D
ND00,R
NE01,R
NE03,R
NE02,R
NH01,D
NH02,D
NJ01,D
NJ02,R
NJ04,R
NJ05,D
NJ06,D
NJ08,D
NJ03,D
NJ07,R
NJ10,D
NJ12,D
NJ09,D
NJ11,D
NM03,D
NM02,D
NM01,D
NV01,D
NV03,D
NV02,R
NV04,D
NY01,R
NY02,R
NY03,R
NY04,R
NY05,D
NY06,D
NY07,D
NY08,D
NY10,D
NY11,R
NY12,D
NY13,D
NY14,D
NY15,D
NY16,D
NY17,R
NY18,D
NY19,R
NY20,D
NY21,R
NY22,R
NY23,R
NY24,R
NY25,D
NY26,D
NY09,D
OH01,D
OH03,D
OH04,R
OH05,R
OH06,R
OH07,R
OH09,D
OH10,R
OH11,D
OH13,D
OH14,R
OH15,R
OH02,R
OH08,R
OH12,R
OK01,R
OK03,R
OK04,R
OK02,R
OK05,R
OR02,R
OR03,D
OR04,D
OR05,R
OR01,D
OR06,D
PA01,R
PA03,D
PA04,D
PA05,D
PA06,D
PA07,D
PA08,D
PA10,R
PA11,R
PA12,D
PA13,R
PA14,R
PA16,R
PA17,D
PA02,D
PA09,R
PA15,R
RI01,D
RI02,D
SC02,R
SC03,R
SC04,R
SC06,D
SC07,R
SC01,R
SC05,R
SD00,R
TN01,R
TN02,R
TN03,R
TN04,R
TN05,R
TN06,R
TN07,R
TN08,R
TN09,D
TX01,R
TX02,R
TX03,R
TX04,R
TX05,R
TX06,R
TX07,D
TX08,R
TX09,D
TX10,R
TX11,R
TX12,R
TX13,R
TX14,R
TX15,R
TX16,D
TX17,R
TX18,D
TX19,R
TX20,D
TX21,R
TX22,R
TX23,R
TX24,R
TX25,R
TX26,R
TX27,R
TX29,D
TX30,D
TX28,D
TX31,R
TX32,D
TX33,D
TX34,D
TX35,D
TX36,R
TX37,D
TX38,R
UT01,R
UT02,R
UT04,R
UT03,R
VA01,R
VA02,R
VA03,D
VA04,D
VA05,R
VA06,R
VA07,D
VA08,D
VA09,R
VA10,D
VA11,D
VT00,D
WA01,D
WA09,D
WA02,D
WA03,D
WA04,R
WA05,R
WA06,D
WA07,D
WA08,D
WA10,D
WI01,R
WI02,D
WI03,R
WI04,D
WI05,R
WI06,R
WI07,R
WI08,R
WV01,R
WV02,R
WY00,R
